param#0 	 param#1 	 dist 	  wgt 
0.466568 	-1.316817 	23.333045 	0.013055 	
0.250165 	-0.927899 	29.166432 	0.017065 	
0.392752 	-2.107133 	63.693080 	0.002708 	
0.167613 	-1.249279 	77.239231 	0.016085 	
0.692752 	-1.229712 	79.201908 	0.012911 	
0.899813 	-2.588229 	77.656202 	0.000423 	
0.545443 	-0.758739 	67.438917 	0.014011 	
0.361830 	-1.766309 	56.259274 	0.006729 	
0.381026 	-0.828400 	70.788561 	0.015570 	
0.509135 	-1.562795 	31.955625 	0.009381 	
0.367844 	-0.413639 	70.595085 	0.010533 	
0.221332 	-1.273681 	54.509932 	0.015257 	
0.383344 	-2.579993 	35.043471 	0.000468 	
0.607029 	-2.725157 	45.096427 	0.000232 	
0.315003 	-1.675854 	39.538738 	0.008275 	
0.738052 	-1.673002 	73.430255 	0.007255 	
0.795353 	-3.096644 	91.293089 	0.000032 	
0.381742 	-0.937490 	28.940331 	0.015968 	
0.673900 	-0.378785 	94.374685 	0.008775 	
0.603684 	-1.172270 	60.967374 	0.013801 	
0.556266 	-2.660322 	31.641392 	0.000315 	
0.423530 	-1.250784 	39.135813 	0.014064 	
0.400974 	-0.645840 	43.901760 	0.013734 	
0.535738 	-1.584431 	34.858599 	0.008975 	
0.609483 	-1.945269 	34.003721 	0.004061 	
0.556381 	-2.447013 	41.417451 	0.000783 	
0.312727 	-1.267854 	73.620797 	0.014596 	
0.370585 	-1.790061 	32.122098 	0.006362 	
0.071106 	-0.293572 	73.492835 	0.010180 	
0.759184 	-1.866573 	88.245310 	0.004795 	
0.136342 	-0.520498 	33.872223 	0.013885 	
0.467311 	-1.882734 	40.855029 	0.004942 	
0.137699 	-0.445459 	40.704682 	0.012533 	
0.610092 	-2.106028 	53.642883 	0.002573 	
0.423111 	-1.088163 	40.694473 	0.015385 	
0.441988 	-1.301840 	28.267839 	0.013369 	
0.262608 	-0.160926 	87.830793 	0.006892 	
0.505236 	-2.120160 	40.469698 	0.002519 	
0.299848 	-1.030855 	65.637694 	0.016554 	
0.726419 	-0.682015 	98.033186 	0.012364 	
0.488874 	-1.498690 	33.861065 	0.010417 	
0.523756 	-0.960320 	53.071647 	0.015030 	
0.244555 	-0.262581 	78.364811 	0.008609 	
